Wavelength [nm], Irradiance
8.666804399867767188e+02,1.716394465954851345e-01
8.666580560247338099e+02,1.726431144711771948e-01
8.666355159632643108e+02,1.737487811147241379e-01
8.666128198690601039e+02,1.735080640225866166e-01
8.665899678088130713e+02,1.736019028890130877e-01
8.665669598492149817e+02,1.727124736333185140e-01
8.665437960569577172e+02,1.726063949147494392e-01
8.665204764987331600e+02,1.732306273740213121e-01
8.664970012412329652e+02,1.742342952497133723e-01
8.664733703511490148e+02,1.705990591633653186e-01
8.664495838951733049e+02,1.702318635990877349e-01
8.664256419399973765e+02,1.713089705876353064e-01
8.664015445523134531e+02,1.713497700947772540e-01
8.663772917988129620e+02,1.702155437962309392e-01
8.663528837461880130e+02,1.726553543233197707e-01
8.663283204611303745e+02,1.736916618047253946e-01
8.663036020103318151e+02,1.707663371426473287e-01
8.662787284604842171e+02,1.713375302426346780e-01
8.662536998782793489e+02,1.722187995969008678e-01
8.662285163304090929e+02,1.717088057576264537e-01
8.662031778835653313e+02,1.735733432340137439e-01
8.661776846044398326e+02,1.737732608190093175e-01
8.661520365597243654e+02,1.700156262112353656e-01
8.661262338161109255e+02,1.707622571919331089e-01
8.661002764402912817e+02,1.720515216176188578e-01
8.660741644989570887e+02,1.714558488133463288e-01
8.660478980588004561e+02,1.721331206319027529e-01
8.660214771865130388e+02,1.725900751118926435e-01
8.659949019487867190e+02,1.715782473347721993e-01
8.659681724123133790e+02,1.727777528447456412e-01
8.659412886437847874e+02,1.689344392719736021e-01
8.659142507098927126e+02,1.714028094540618052e-01
8.658870586773291507e+02,1.705990591633653186e-01
8.658597126127857564e+02,1.689711588284013577e-01
8.658322125829545257e+02,1.708601760090737998e-01
8.658045586545271135e+02,1.723656778226118902e-01
8.657767508941955157e+02,1.744097331304237941e-01
8.657487893686515008e+02,1.691873962162536993e-01
8.657206741445869511e+02,1.703012227612290541e-01
8.656924052886936352e+02,1.720556015683330497e-01
8.656639828676633215e+02,1.718271243283381045e-01
8.656354069481878923e+02,1.731857479161651725e-01
8.656066775969593436e+02,1.705868193112227149e-01
8.655777948806692166e+02,1.716027270390573789e-01
8.655487588660096208e+02,1.732428672261639158e-01
8.655195696196722110e+02,1.714191292569185732e-01
8.654902272083488697e+02,1.690201182369716892e-01
8.654607316987313652e+02,1.710886532490687451e-01
8.654310831575116936e+02,1.720433617161904738e-01
8.654012816513815096e+02,1.696239509426726022e-01
8.653713272470328093e+02,1.714762485669173164e-01
8.653412200111572474e+02,1.716598463490560944e-01
8.653109600104468200e+02,1.699177073940946747e-01
8.652805473115931818e+02,1.728103924504592048e-01
8.652499819812883288e+02,1.712232916226371915e-01
8.652192640862240296e+02,1.730755892468819057e-01
8.651883936930921664e+02,1.711090530026397327e-01
8.651573708685843940e+02,1.725900751118926435e-01
8.651261956793928221e+02,1.694893125691041558e-01
8.650948681922089918e+02,1.721494404347595486e-01
8.650633884737250128e+02,1.734264650083026937e-01
8.650317565906324262e+02,1.719332030469072070e-01
8.649999726096233417e+02,1.712436913762081792e-01
8.649680365973894141e+02,1.711376126576391044e-01
8.649359486206225256e+02,1.734509447125878734e-01
8.649037087460145585e+02,1.733122263883052350e-01
8.648713170402571677e+02,1.694158734562486446e-01
8.648387735700424628e+02,1.696769903019571535e-01
8.648060784020619849e+02,1.714232092076327651e-01
8.647732316030078437e+02,1.713742497990624336e-01
8.647402332395716940e+02,1.713171304890636903e-01
8.647070833784453043e+02,1.716149668911999548e-01
8.646737820863207844e+02,1.686284429684089536e-01
8.646403294298896753e+02,1.719740025540491546e-01
8.646067254758439731e+02,1.714354490597753689e-01
8.645729702908753325e+02,1.693424343433931334e-01
8.645390639416758631e+02,1.705215400997955877e-01
8.645050064949372199e+02,1.707540972905047250e-01
8.644707980173511714e+02,1.706480185719356502e-01
8.644364385756097136e+02,1.707663371426473287e-01
8.644019282364046148e+02,1.699911465069501859e-01
8.643672670664277575e+02,1.694729927662473878e-01
8.643324551323707965e+02,1.730633493947393020e-01
8.642974925009257277e+02,1.698605880840959315e-01
8.642623792387843196e+02,1.727165535840327060e-01
8.642271154126384545e+02,1.714844084683457004e-01
8.641917010891799009e+02,1.707418574383621490e-01
8.641561363351005411e+02,1.713538500454914459e-01
8.641204212170921437e+02,1.707989767483608923e-01
8.640845558018465908e+02,1.749523665754117718e-01
8.640485401560556511e+02,1.693016348362511858e-01
8.640123743464113204e+02,1.701135450283760564e-01
8.639760584396052536e+02,1.720800812726182294e-01
8.639395925023294467e+02,1.702971428105148621e-01
8.639029766012755545e+02,1.722473592519002394e-01
8.638662108031354592e+02,1.699503469998082383e-01
8.638292951746010431e+02,1.692485954769666345e-01
8.637922297823640747e+02,1.696484306469577819e-01
8.637550146931165500e+02,1.713171304890636903e-01
8.637176499735501238e+02,1.705378599026523834e-01
8.636801356903566784e+02,1.693465142941073254e-01
8.636424719102279823e+02,1.711539324604958723e-01
8.636046586998560315e+02,1.723371181676125463e-01
8.635666961259324808e+02,1.714191292569185732e-01
8.635285842551493261e+02,1.705337799519381914e-01
8.634903231541982223e+02,1.706276188183646625e-01
8.634519128897711653e+02,1.711376126576391044e-01
8.634133535285599237e+02,1.700156262112353656e-01
8.633746451372562660e+02,1.708683359105022115e-01
8.633357877825520745e+02,1.714232092076327651e-01
8.632967815311392314e+02,1.696117110905300263e-01
8.632576264497095053e+02,1.702726631062296825e-01
8.632183226049547784e+02,1.714436089612037528e-01
8.631788700635668192e+02,1.713538500454914459e-01
8.631392688922373964e+02,1.722187995969008678e-01
8.630995191576586194e+02,1.740996568761449259e-01
8.630596209265220295e+02,1.713048906369211144e-01
8.630195742655195090e+02,1.698034687740972160e-01
8.629793792413430538e+02,1.717700050183393889e-01
8.629390359206843186e+02,1.694158734562486446e-01
8.628985443702352995e+02,1.708520161076454158e-01
8.628579046566876514e+02,1.693954737026776847e-01
8.628171168467332564e+02,1.700237861126637495e-01
8.627761810070641104e+02,1.705949792126510989e-01
8.627350972043717547e+02,1.676043753391459057e-01
8.626938655053482989e+02,1.734305449590168857e-01
8.626524859766853979e+02,1.701992239933741713e-01
8.626109586850749338e+02,1.692241157726814549e-01
8.625692836972087889e+02,1.714436089612037528e-01
8.625274610797787318e+02,1.701339447819470441e-01
8.624854908994765310e+02,1.710723334462119771e-01
8.624433732229941825e+02,1.677757332691421077e-01
8.624011081170234547e+02,1.696647504498145775e-01
8.623586956482561163e+02,1.743770935247102305e-01
8.623161358833840495e+02,1.705093002476530117e-01
8.622734288890991365e+02,1.711865720662094359e-01
8.622305747320930323e+02,1.679470911991383097e-01
8.621875734790578463e+02,1.707948967976466725e-01
8.621444251966851198e+02,1.705378599026523834e-01
8.621011299516668487e+02,1.700727455212341088e-01
8.620576878106949152e+02,1.712436913762081792e-01
8.620140988404609743e+02,1.706276188183646625e-01
8.619703631076570218e+02,1.688773199619748588e-01
8.619264806789747126e+02,1.716965659054838500e-01
8.618824516211060427e+02,1.686366028698373376e-01
8.618382760007428942e+02,1.700278660633779415e-01
8.617939538845768084e+02,1.708193765019318522e-01
8.617494853392998948e+02,1.708683359105022115e-01
8.617048704316039220e+02,1.708560960583596078e-01
8.616601092281806586e+02,1.691710764133969314e-01
8.616152017957219869e+02,1.690160382862574973e-01
