Wavelength [nm], Irradiance (before midnight), Irradiance (after midnight)
400.0, 5.40617679493e-09, 1.89197323054e-09
400.5, 5.31751640542e-09, 2.21740944212e-09
401.0, 6.33074644209e-09, 2.57487416891e-09
401.5, 6.69412841496e-09, 2.4448495078e-09
402.0, 4.3442198902e-09, 2.56903295268e-09
402.5, 5.05903624634e-09, 2.40188528516e-09
403.0, 6.0164048653e-09, 2.6259934756e-09
403.5, 6.81669902767e-09, 3.53950519232e-09
404.0, 8.01122539504e-09, 5.04923376142e-09
404.5, 9.38259451402e-09, 7.36411535312e-09
405.0, 1.10680220333e-08, 8.86466221663e-09
405.5, 1.18109270077e-08, 8.3532194969e-09
406.0, 9.10183051085e-09, 6.13306953739e-09
406.5, 7.7754421263e-09, 4.43988351977e-09
407.0, 4.65444259401e-09, 2.84495985332e-09
407.5, 5.30134869185e-09, 2.37154282864e-09
408.0, 4.42388067353e-09, 2.53518892398e-09
408.5, 3.96781226395e-09, 2.61444008019e-09
409.0, 4.30548231102e-09, 2.33104707356e-09
409.5, 4.62874096017e-09, 2.28580996013e-09
410.0, 4.72195270443e-09, 2.17445369244e-09
410.5, 5.04869751544e-09, 2.65372484761e-09
411.0, 5.20012643442e-09, 3.11449463731e-09
411.5, 4.88675223711e-09, 3.02564822717e-09
412.0, 4.06452987251e-09, 2.623687218e-09
412.5, 3.29810287829e-09, 2.19584802814e-09
413.0, 3.36200037174e-09, 2.06438257215e-09
413.5, 3.57563889423e-09, 1.84433225035e-09
414.0, 2.70993811874e-09, 1.5599145312e-09
414.5, 2.27154576605e-09, 1.0784654251e-09
415.0, 2.21938392792e-09, 9.16514955298e-10
415.5, 1.51501852717e-09, 5.85626875316e-10
416.0, 1.70082774218e-09, 3.73436266925e-10
416.5, 1.56883890743e-09, 7.96332903889e-10
417.0, 1.89207230972e-09, 5.29155918127e-10
417.5, 1.2535149426e-09, 5.82901826095e-10
418.0, 1.17949792392e-09, 4.41562935934e-10
418.5, 1.17196132155e-09, 3.2290153911e-10
419.0, 9.07348192257e-10, 3.30817863121e-10
419.5, 6.48748850903e-10, 3.9296563734e-10
420.0, 8.12444870146e-10, 2.93828867348e-10
